,id,Case,Duration (days),Day0,avg_sonde,min_lat,RMM_amplitude,phase
0,7,2012-12-12 12:00:00,42,2013-01-10,2.4285714285714284,-4.8834887,2.2434919333610117,5.0
1,8,2012-12-12 12:00:00,24,2012-12-27,2.4285714285714284,1.2549682,0.838891536713355,3.0
2,10,2013-02-11 03:00:00,34,2013-02-11,2.142857142857143,2.1677806,1.6377547555016894,1.0
3,11,2013-03-29 12:00:00,18,2013-04-12,2.3333333333333335,-7.1931953,0.8482122006971933,4.0
4,104,2001-12-01 00:00:00,42,2001-12-09,2.0,5.5395174,1.9375590077466027,6.0
5,105,2002-01-07 21:00:00,58,2002-02-14,1.8571428571428572,-9.375177,0.3917739348798673,7.0
6,107,2002-04-25 09:00:00,23,2002-05-12,2.0,0.9908942,2.2744667267653425,5.0
7,113,2002-12-14 21:00:00,33,2003-01-05,1.8,-3.4815216,0.5156631640955169,5.0
8,116,2003-02-13 00:00:00,17,2003-02-23,2.0,-7.322838,0.6985255347711659,6.0
9,117,2003-03-27 18:00:00,20,2003-04-02,1.85,-3.8778343,1.8791271126806717,5.0
10,118,2003-05-01 03:00:00,26,2003-05-19,2.0,3.477418,2.5389691993532595,6.0
11,124,2004-01-21 12:00:00,27,2004-02-10,1.9523809523809523,-6.2292705,1.702037114590453,5.0
12,125,2004-02-28 15:00:00,26,2004-03-18,1.9523809523809523,-4.383275,2.818845337467712,5.0
13,126,2004-04-28 03:00:00,17,2004-05-14,1.9523809523809523,2.0960176,1.0750093694135157,6.0
14,127,2004-05-29 15:00:00,11,2004-06-02,1.9523809523809523,-1.5129782,0.3113071733247085,2.0
15,135,2004-12-23 06:00:00,37,2005-01-02,2.0476190476190474,-8.887293,1.5446079507519612,4.0
16,136,2005-01-29 06:00:00,47,2005-01-29,2.0,-14.971978,0.6951290730249504,5.0
17,137,2005-03-27 09:00:00,34,2005-04-11,2.0,-3.8076324,2.5219981424789792,5.0
18,140,2005-05-24 06:00:00,31,2005-05-24,2.0476190476190474,-3.4073863,0.7069424904648924,1.0
19,144,2005-12-05 18:00:00,9,2005-12-12,2.0,-0.74258447,0.7315427369651316,2.0
20,146,2006-01-05 18:00:00,41,2006-01-27,2.0,-14.829834,2.6115360680421564,6.0
21,147,2006-02-10 09:00:00,15,2006-02-10,2.0476190476190474,0.51145416,1.4030874845611085,8.0
22,148,2006-02-20 21:00:00,33,2006-03-11,2.0,0.4026946,0.45746628735412553,5.0
23,150,2006-04-14 18:00:00,24,2006-04-14,2.0,-4.4258213,0.8502695134591634,2.0
24,156,2006-12-15 21:00:00,55,2007-01-07,2.0,-0.06880166,1.8742326595590446,5.0
25,158,2007-04-05 09:00:00,13,2007-04-05,2.0,-0.7606383,1.4554376651459424,8.0
26,159,2007-05-06 09:00:00,15,2007-05-10,1.8095238095238095,-0.27313355,0.18267122534232014,6.0
27,163,2007-12-05 12:00:00,64,2008-01-02,1.9047619047619047,-9.38027,1.6935645396884238,5.0
28,164,2007-12-21 12:00:00,48,2008-01-02,1.9047619047619047,-9.38027,1.6935645396884238,5.0
29,165,2008-01-20 12:00:00,42,2008-02-19,1.8571428571428572,-12.859508,1.2420554881393036,8.0
30,167,2008-03-26 09:00:00,13,2008-04-04,2.0,-7.046222,1.3807600752345688,8.0
31,179,2009-01-24 03:00:00,45,2009-02-06,1.8571428571428572,-0.89017737,2.097558587149961,5.0
32,180,2009-03-12 00:00:00,28,2009-03-17,1.9523809523809523,-4.009374,0.33809311374484396,6.0
33,181,2009-05-28 00:00:00,21,2009-06-09,1.9523809523809523,6.46995,1.9969024074743862,7.0
34,188,2009-12-21 09:00:00,92,2010-01-11,1.0,-3.770613,0.7201667544534197,5.0
35,189,2010-01-14 06:00:00,68,2010-01-19,1.0,-2.4758143,1.1282448858584773,5.0
36,191,2010-03-24 18:00:00,13,2010-04-03,1.9047619047619047,-5.313369,1.4207779256842221,5.0
37,200,2011-01-04 15:00:00,16,2011-01-13,2.0,-14.691205,2.361616315644995,6.0
38,202,2011-02-22 15:00:00,20,2011-03-07,3.9047619047619047,-16.352657,0.9969534210447527,8.0
39,204,2011-03-16 09:00:00,37,2011-04-04,3.9047619047619047,-14.201138,1.7394885437172654,6.0
40,205,2011-04-27 12:00:00,16,2011-05-07,3.7142857142857144,3.1163318,2.4548179369471477,5.0
41,211,2011-12-15 09:00:00,41,2012-01-05,7.761904761904762,-0.41513804,0.7763507646494707,6.0
42,212,2012-02-29 06:00:00,22,2012-03-20,7.666666666666667,-10.439263,3.3800187277720957,6.0
43,213,2012-03-23 06:00:00,14,2012-03-27,7.809523809523809,-1.5769285,1.5824332145211861,6.0
44,215,2012-05-21 15:00:00,20,2012-06-07,1.9523809523809523,0.49534363,1.8692674232372062,5.0
